tab	sites
site	location	samples	specimens	age_high	age_low	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	analysts	criteria	software_packages	citations	method_codes	result_quality	vgp_dm	vgp_dp	vgp_lat	vgp_lon
AF1-23a	Keweenaw Peninsula	AF1-23a	AF1-23a	992.0	985.0	Ma		hdt	71.8	13.6		1.0	1	1	0	t		0	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	  183.9 	   93.9 	   17.4 	   10.6 
AF1-23a	Keweenaw Peninsula	AF1-23a	AF1-23a	992.0	985.0	Ma		hct	69.4	24.8		1.0	1	1	0	t		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  193.2 	  103.7 	   23.4 	    8.0 
AF1-23a	Keweenaw Peninsula	AF1-23a	AF1-23a	992.0	985.0	Ma		hdt	71.6	13.8		1.0	1	1	0	t		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  184.0 	   94.0 	   17.6 	   10.7 
AF1-24a	Keweenaw Peninsula	AF1-24a	AF1-24a	992.0	985.0	Ma		hdt	67.7	19.2		1.0	1	1	0	t		0	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	  187.8 	   97.9 	   22.3 	   11.7 
AF1-24a	Keweenaw Peninsula	AF1-24a	AF1-24a	992.0	985.0	Ma		hdt	67.3	19.3		1.0	1	1	0	t		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  187.9 	   98.0 	   22.6 	   11.9 
AF1-24a	Keweenaw Peninsula	AF1-24a	AF1-24a	992.0	985.0	Ma		hct	74.1	25.8		1.0	1	1	0	t		0	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  194.3 	  104.9 	   20.7 	    4.0 
AF1-24a	Keweenaw Peninsula	AF1-24a	AF1-24a	992.0	985.0	Ma		hct	73.6	26.0		1.0	1	1	0	t		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  194.6 	  105.2 	   21.1 	    4.3 
AF1-25a	Keweenaw Peninsula	AF1-25a	AF1-25a	992.0	985.0	Ma		hct	78.9	16.5		1.0	1	1	0	t		0	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  185.7 	   95.8 	   13.7 	    4.2 
AF1-25a	Keweenaw Peninsula	AF1-25a	AF1-25a	992.0	985.0	Ma		hdt	274.8	-5.9		1.0	1	1	0	t		0	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	  180.7 	   90.7 	    1.1 	  176.3 
AF1-25a	Keweenaw Peninsula	AF1-25a	AF1-25a	992.0	985.0	Ma		hct	78.6	16.8		1.0	1	1	0	t		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  185.9 	   96.0 	   14.0 	    4.3 
